Test Case ID,Module,Test Scenario,Test Steps,Test Data,Expected Result,Actual Result,Status,Remarks
TC01,Đăng ký,Kiểm tra giao diện hiển thị đúng,1. Mở ứng dụng\n2. Quan sát giao diện màn hình đăng ký,Không có dữ liệu,"Giao diện hiển thị logo 'facebook', tiêu đề 'Create a new account', các trường nhập liệu (First Name, Surname, Date of Birth, Gender, Mobile/Email, Password), và nút 'Sign Up'",,,
TC02,Đăng ký,Kiểm tra trường First Name bắt buộc,1. Mở màn hình đăng ký\n2. Bỏ qua trường First Name\n3. Nhấn 'Sign Up',First Name: (rỗng),Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường First Name,,,
TC03,Đăng ký,Kiểm tra trường Surname bắt buộc,1. Mở màn hình đăng ký\n2. Bỏ qua trường Surname\n3. Nhấn 'Sign Up',Surname: (rỗng),Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Surname,,,
TC04,Đăng ký,Kiểm tra trường Date of Birth bắt buộc,"1. Mở màn hình đăng ký\n2. Bỏ qua các trường Day, Month, Year\n3. Nhấn 'Sign Up'","Day: (rỗng), Month: (rỗng), Year: (rỗng)",Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Date of Birth,,,
TC05,Đăng ký,Kiểm tra độ tuổi dưới 13 không hợp lệ,1. Mở màn hình đăng ký\n2. Chọn ngày sinh với năm < 13 năm so với hiện tại\n3. Nhấn 'Sign Up',"Day: 1, Month: January, Year: 2020",Hiển thị thông báo lỗi 'Must be at least 13 years old.' bên dưới trường Year,,,
TC06,Đăng ký,Kiểm tra độ tuổi trên 13 hợp lệ,1. Mở màn hình đăng ký\n2. Chọn ngày sinh với năm > 13 năm so với hiện tại\n3. Nhấn 'Sign Up',"Day: 1, Month: January, Year: 2000","Không hiển thị lỗi, form hợp lệ",,,
TC07,Đăng ký,Kiểm tra trường Gender bắt buộc,1. Mở màn hình đăng ký\n2. Bỏ qua trường Gender\n3. Nhấn 'Sign Up',Gender: (rỗng),Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Gender,,,
TC08,Đăng ký,Kiểm tra chọn Gender hợp lệ,"1. Mở màn hình đăng ký\n2. Chọn một tùy chọn Gender (Female, Male, Custom)\n3. Nhấn 'Sign Up'",Gender: Female,"Không hiển thị lỗi, giá trị Gender được lưu",,,
TC09,Đăng ký,Kiểm tra trường Mobile number or email bắt buộc,1. Mở màn hình đăng ký\n2. Bỏ qua trường Mobile number or email\n3. Nhấn 'Sign Up',Mobile/Email: (rỗng),Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Mobile number or email,,,
TC10,Đăng ký,Kiểm tra trường Password bắt buộc,1. Mở màn hình đăng ký\n2. Bỏ qua trường Password\n3. Nhấn 'Sign Up',Password: (rỗng),Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Password,,,
