id;name;price;description;category
1;tricky;12070.82;optimal;but although cannon
2;despite;7434.88;psst grouchy card;unabashedly hence
3;supposing over ice-cream;25843.17;flat wherever silk;wilt intellect
4;furthermore ribbon politely;9789.8;faithfully;stoop merrily
5;cross testing eventually;10920.22;freely urgently sugary;enfold
6;deeply during;22300.51;unlike truthfully;till psst
7;consequently whenever;23899.06;needily;bus yet
8;damaged yahoo aftermath;9789.97;stay;aftermath puff adumbrate
9;pfft blindly cheap;29346.01;often for instead;vice brook
10;black-and-white bravely jaunty;31019.73;and ah;though than
